Temperatur	Gewicht	Zeit
25.9905	241.865	157.8
25.9794	242.476	158.0
25.9937	241.163	158.2
25.9821	241.618	158.4
25.997	241.501	158.6
25.9987	241.241	158.8
25.9882	241.462	159.0
25.9819	241.163	159.2
25.9996	240.227	159.4
25.988	242.32	159.6
25.9848	241.618	159.8
25.9941	242.424	160.0
25.9871	241.02	160.2
25.9842	241.41	160.4
25.9808	241.059	160.6
25.9821	242.996	160.8
25.9758	242.372	161.0
25.9853	242.151	161.2
25.9714	241.826	161.4
25.9905	241.605	161.6
25.9903	242.073	161.8
25.9941	240.123	162.0
25.9945	242.073	162.2
25.9748	241.332	162.4
25.9871	241.033	162.6
25.9756	241.384	162.8
25.9876	242.268	163.0
25.9794	240.695	163.2
25.9851	242.97	163.4
25.989	241.878	163.6
26.0035	242.814	163.8
25.9909	241.267	164.0
25.9804	241.618	164.2
25.9758	242.866	164.4
25.9771	241.202	164.6
25.9924	240.591	164.8
25.9766	241.787	165.0
25.9922	242.71	165.2
25.9745	241.943	165.4
25.9899	242.398	165.6
25.9932	241.332	165.8
25.9863	242.749	166.0
25.9983	241.072	166.2
26.0002	242.151	166.4
25.9863	241.41	166.6
25.9871	240.162	166.8
25.988	241.436	167.0
25.9762	242.125	167.2
25.9945	242.814	167.4
25.964	242.099	167.6
25.9964	241.566	167.8
25.9794	241.8	168.0
25.9672	241.423	168.2
25.9922	242.203	168.4
25.9867	241.878	168.6
25.9935	241.683	168.8
25.9935	241.033	169.0
25.9895	242.84	169.2
26.004	241.189	169.4
25.9863	242.047	169.6
25.9905	242.853	169.8
25.9932	241.306	170.0
26.0059	241.8	170.2
25.9966	242.203	170.4
25.9853	241.8	170.6
25.997	241.592	170.8
25.9729	242.359	171.0
25.9872	241.319	171.2
25.9987	243.1	171.4
25.9819	242.697	171.6
25.9857	241.371	171.8
25.9956	243.126	172.0
25.9838	241.839	172.2
25.9876	241.995	172.4
25.9987	242.047	172.6
25.9867	242.164	172.8
25.9993	241.514	173.0
25.9842	243.178	173.2
25.9808	241.514	173.4
25.9851	242.398	173.6
25.9935	241.696	173.8
25.9821	241.722	174.0
25.9945	242.905	174.2
25.9928	241.865	174.4
25.9924	242.489	174.6
25.9775	242.749	174.8
25.9834	242.346	175.0
25.9718	242.502	175.2
25.979	242.255	175.4
25.9794	242.151	175.6
25.9808	242.229	175.8
25.9941	242.359	176.0
25.9838	243.035	176.2
25.996	241.397	176.4
25.9867	241.748	176.6
25.9924	241.657	176.8
25.9928	243.347	177.0
25.9809	242.398	177.2
25.9932	242.996	177.4
25.9863	242.567	177.6
26.0008	242.034	177.8
25.989	242.853	178.0
25.9872	242.19	178.2
25.9848	241.397	178.4
25.9899	242.099	178.6
25.9851	242.034	178.8
25.9956	241.839	179.0
25.9848	241.553	179.2
25.9914	241.67	179.4
25.9756	242.658	179.6
25.9886	242.58	179.8
25.997	242.905	180.0
25.9829	242.19	180.2
25.988	241.891	180.4
25.9861	243.36	180.6
25.989	242.06	180.8
25.9951	242.307	181.0
25.9964	242.489	181.2
26.0025	242.788	181.4
25.9863	242.905	181.6
25.9895	242.06	181.8
25.9844	242.086	182.0
25.9903	242.827	182.2
26.0048	243.243	182.4
26.0195	242.45	182.6
26.0113	242.957	182.8
26.0025	242.385	183.0
25.9996	242.918	183.2
25.997	242.606	183.4
25.9979	242.099	183.6
26.0086	242.593	183.8
25.9876	242.671	184.0
25.9905	242.879	184.2
25.9871	241.813	184.4
25.9974	242.021	184.6
26.0035	241.904	184.8
26.005	241.605	185.0
26.0017	240.877	185.2
25.9993	243.022	185.4
25.9912	242.71	185.6
26.0159	241.28	185.8
25.9945	242.476	186.0
25.997	240.929	186.2
25.9851	242.073	186.4
25.9987	243.412	186.6
25.997	243.451	186.8
25.9714	243.62	187.0
25.9903	243.152	187.2
25.9945	241.384	187.4
25.9979	243.256	187.6
25.9905	242.034	187.8
25.9905	242.359	188.0
25.9918	241.774	188.2
25.9886	241.579	188.4
25.9756	242.06	188.6
26.0006	241.28	188.8
25.9691	242.554	189.0
25.9964	243.412	189.2
25.9956	242.879	189.4
25.9838	243.373	189.6
25.9989	244.01	189.8
25.9905	241.917	190.0
25.9893	244.023	190.2
25.9838	242.879	190.4
25.9905	242.216	190.6
25.9842	242.801	190.8
25.9974	242.398	191.0
25.9798	241.865	191.2
25.9794	242.021	191.4
25.9979	241.098	191.6
25.9893	242.125	191.8
25.9922	242.697	192.0
25.9922	242.112	192.2
25.9928	242.84	192.4
25.997	243.191	192.6
25.9787	242.164	192.8
26.0166	243.243	193.0
25.9935	242.424	193.2
25.9928	242.775	193.4
25.9932	242.307	193.6
25.979	242.866	193.8
25.9872	243.009	194.0
25.9813	241.67	194.2
25.9703	242.996	194.4
25.9922	241.761	194.6
25.9966	242.853	194.8
25.997	242.814	195.0
25.9903	241.93	195.2
25.9743	241.904	195.4
25.988	242.385	195.6
25.9766	241.28	195.8
25.9661	242.411	196.0
25.9834	242.151	196.2
25.983	243.464	196.4
25.9964	242.359	196.6
25.9743	241.501	196.8
25.9766	242.684	197.0
25.9857	240.955	197.2
25.9775	242.866	197.4
25.9752	242.463	197.6
25.9886	241.371	197.8
26.009	242.45	198.0
25.9853	242.06	198.2
25.9838	242.697	198.4
25.9909	242.411	198.6
25.989	243.022	198.8
25.979	242.71	199.0
25.9829	242.008	199.2
25.9977	242.658	199.4
25.9813	241.839	199.6
25.9979	243.438	199.8
25.9809	242.866	200.0
25.9983	242.177	200.2
25.9993	243.971	200.4
25.9699	243.269	200.6
26.0015	242.801	200.8
25.9974	242.307	201.0
26.0012	242.06	201.2
25.9998	242.957	201.4
25.9903	243.477	201.6
25.9998	243.386	201.8
25.9899	240.851	202.0
25.996	242.697	202.2
26.0029	242.255	202.4
26.005	243.217	202.6
25.9928	243.035	202.8
25.9987	242.827	203.0
25.9977	242.45	203.2
26.0136	242.71	203.4
26.0054	243.022	203.6
25.9781	242.684	203.8
26.0099	242.632	204.0
26.0002	242.242	204.2
25.9777	241.605	204.4
25.9964	243.815	204.6
26.0021	242.359	204.8
25.9935	242.918	205.0
25.9876	243.256	205.2
25.9871	241.891	205.4
26.0008	242.606	205.6
25.9932	243.23	205.8
25.9935	242.398	206.0
25.9987	242.034	206.2
25.9979	242.073	206.4
25.9998	242.047	206.6
25.9951	243.282	206.8
26.0044	242.294	207.0
25.9977	244.01	207.2
25.9909	242.58	207.4
25.9804	243.217	207.6
25.9922	242.658	207.8
25.9893	241.995	208.0
25.9756	242.32	208.2
25.9932	242.567	208.4
25.9945	242.398	208.6
25.9689	242.619	208.8
25.9809	241.54	209.0
25.9863	243.282	209.2
25.9838	243.347	209.4
25.9838	242.307	209.6
25.9825	243.178	209.8
25.9867	242.879	210.0
25.9798	242.554	210.2
25.989	243.815	210.4
25.9909	242.814	210.6
25.9722	241.891	210.8
25.9977	243.087	211.0
25.9829	242.06	211.2
25.983	243.36	211.4
25.9808	242.515	211.6
25.9893	242.606	211.8
25.9748	244.387	212.0
25.9785	243.958	212.2
25.9794	242.346	212.4
25.9899	244.036	212.6
25.9937	242.346	212.8
25.9928	242.281	213.0
25.9808	241.683	213.2
25.9918	242.892	213.4
25.9924	241.839	213.6
25.9882	242.034	213.8
25.9951	242.138	214.0
25.9871	242.385	214.2
26.0002	242.346	214.4
25.9872	241.878	214.6
